nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,80,10,3970,4042,3544,G21,G22,G23,3852,219.8,0.0861,0.012,example
0.033,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,40,10,23452,22917,22525,H2,H5,H8,22964.7,379.9,1.1322,0.0208,example
0.099,0.0068,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,40,10,24521,23395,23270,H3,H6,H9,23728.7,562.6,1.174,0.0308,example
0.165,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.02,2,50,0.075,40,10,23754,23558,23938,H4,H7,H10,23750,155.2,1.1752,0.0085,example
0.033,0.034,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,40,10,22997,22896,22498,H11,H12,H13,22797,215.4,1.1231,0.0118,example
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.45,0.02,2,50,0.075,40,10,23689,23263,23064,H14,H15,H16,23338.7,260.7,1.1527,0.0143,example
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,80,10,5240,4967,5209,H17,H18,H19,5138.7,122,0.1566,0.0067,example
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.02,2,50,0.225,40,10,20310,21287,21257,H20,I2,I6,20951.3,453.7,1.022,0.0248,example
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.45,0.02,2,50,0.075,40,10,20051,21226,21216,H21,I3,I7,20831,551.6,1.0155,0.0302,example
0.165,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.06,2,50,0.075,40,10,20447,23732,24202,H22,I4,I8,22793.7,1670.4,1.1229,0.0914,example
0.165,0.0204,50,0.026,10,2,0.75,0.3,15,0.45,0.06,2,50,0.075,40,10,19195,22844,23467,H23,I5,I9,21835.3,1884.2,1.0704,0.1031,example
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,80,10,4880,4813,4674,I10,I11,I12,4789,85.8,0.1374,0.0047,example
0.033,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.1,2,50,0.225,40,10,20299,18794,19571,I13,I14,I15,19554.7,614.5,0.9456,0.0336,example
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,80,10,37288,37112,38015,I16,I17,I18,37471.7,390.9,1.9262,0.0214,example
0.033,0.0204,50,0.026,10,2,1.5,0.3,9,0.45,0.1,4,50,0.075,80,10,33795,33258,32217,I19,I21,I23,33090,655.1,1.6864,0.0359,example
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,80,10,36220,34412,36490,I20,I22,J2,35707.3,922.5,1.8297,0.0505,example
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.02,2,50,0.075,8,10,10240,10242,9468,J3,J4,J5,9983.3,364.4,0.4217,0.0199,example
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,80,10,25682,26338,27325,J6,J7,J8,26448.3,675.3,1.3229,0.037,example
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,80,10,4015,4974,4193,J9,J12,J15,4394,416.5,0.1158,0.0228,example
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,80,10,39456,38690,38593,J10,J13,J16,38913,386,2.0051,0.0211,example
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,80,10,4505,3849,3622,J11,J14,J17,3992,374.4,0.0938,0.0205,example
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.06,0.4,50,0.075,40,10,11279,13214,12670,J18,J19,J20,12387.7,814.8,0.5533,0.0446,example
0.099,0.0068,50,0.026,10,2,0.15,0.1,15,0.75,0.06,2,50,0.375,8,10,12524,12741,12180,J21,J22,J23,12481.7,231,0.5585,0.0126,example
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,80,10,5026,5471,5039,K2,K4,K6,5178.7,206.8,0.1588,0.0113,example
0.165,0.068,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,80,10,39667,38707,39132,K3,K5,K7,39168.7,392.8,2.0191,0.0215,example
0.033,0.0204,50,0.026,10,2,0.75,0.5,9,0.75,0.02,2,50,0.075,40,10,17467,17571,16365,K8,K9,K10,17134.3,545.7,0.8131,0.0299,example
0.33,0.068,50,0.078,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,80,10,37814,36149,36491,K11,K12,K13,36818,718,1.8905,0.0393,example
0.033,0.0068,50,0.026,10,2,1.5,0.5,9,0.75,0.06,4,50,0.075,80,10,29810,31864,30727,K14,K15,K16,30800.3,840.1,1.5611,0.046,example
0.165,0.034,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,80,10,43262,43264,43164,K17,K18,K19,43230,46.7,2.2414,0.0026,example
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,80,10,39208,38824,38524,K20,K21,K22,38852,279.9,2.0018,0.0153,example
0.099,0.0204,50,0.13,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,80,10,37719,36464,41653,K23,L4,L7,38612,2210.5,1.9887,0.121,example
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,80,10,37737,40545,41664,L2,L5,L8,39982,1651.9,2.0636,0.0904,example
0.099,0.034,50,0.026,10,2,1.5,0.3,9,0.75,0.1,4,50,0.075,80,10,38450,39022,39745,L3,L6,L9,39072.3,529.9,2.0138,0.029,example
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.225,80,10,40755,39032,35854,L10,L13,L16,38547,2030,1.9851,0.1111,example
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,80,10,37119,40398,39732,L11,L14,L17,39083,1415.1,2.0144,0.0775,example
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,80,10,40106,40918,36066,L12,L15,L18,39030,2121.9,2.0115,0.1161,example
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.1,2,50,0.075,80,10,32650,31905,33550,L19,L21,L23,32701.7,672.6,1.6652,0.0368,example
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.06,2,50,0.075,80,10,33361,34789,34460,L20,L22,M2,34203.3,610.6,1.7474,0.0334,example
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,80,10,40534,41031,40572,M3,M5,M7,40712.3,225.9,2.1036,0.0124,example
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,80,10,40162,39557,40913,M4,M6,M8,40210.7,554.7,2.0762,0.0304,example
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,80,10,42053,41194,41652,M9,M11,M13,41633,350.9,2.154,0.0192,example
0.099,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,37776,41771,42779,M10,M12,M14,40775.3,2160.4,2.1071,0.1182,example
0.165,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.1,4,50,0.075,80,10,38587,36895,36333,M15,M16,M17,37271.7,958,1.9153,0.0524,example
0.033,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,80,10,34642,33380,34589,M18,M19,M20,34203.7,582.8,1.7474,0.0319,example
0.165,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,80,10,41191,39748,39761,M21,M22,M23,40233.3,677.2,2.0774,0.0371,example
0.033,0.0068,50,0.078,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,80,10,31913,32886,33820,N2,N3,N4,32873,778.6,1.6745,0.0426,example
