name,extract_vol,mg_gluta_vol,k_gluta_vol,aa_vol,peg_vol,hepes_vol,trna_vol,coa_vol,nad_vol,camp_vol,folinic_acid_vol,spermidine_vol,pga_vol,nucleo_mix_vol,dna_high_high_vol,dna_high_low_vol,dna_low_high_vol,dna_low_low_vol,water_vol
D3,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0125,0.0125,0.1125,0.0375,1.75,0.0,0.0,0.0,3.5925000000000002
D4,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0125,0.0125,0.1125,0.0375,1.75,0.0,0.0,0.0,3.5925000000000002
D5,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0125,0.0125,0.1125,0.0375,1.75,0.0,0.0,0.0,3.5925000000000002
D6,3.52,0.075,0.125,0.2625,0.525,0.25,0.0375,0.0625,0.0375,0.0125,0.0625,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,3.5675
D7,3.52,0.075,0.125,0.2625,0.525,0.25,0.0375,0.0625,0.0375,0.0125,0.0625,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,3.5675
D8,3.52,0.075,0.125,0.2625,0.525,0.25,0.0375,0.0625,0.0375,0.0125,0.0625,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,3.5675
D9,3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0625,0.0625,0.0375,0.0375,0.0375,0.0675,0.0625,1.75,0.0,0.0,0.0,3.5625
D10,3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0625,0.0375,0.0375,0.0625,0.0375,0.0675,0.0625,1.75,0.0,0.0,0.0,3.5625
D11,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0625,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.5625
D12,3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0625,0.0625,0.0375,0.0375,0.0375,0.0675,0.0625,1.75,0.0,0.0,0.0,3.5625
D13,3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0625,0.0375,0.0375,0.0625,0.0375,0.0675,0.0625,1.75,0.0,0.0,0.0,3.5625
D14,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0625,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.5625
D15,3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0625,0.0625,0.0375,0.0375,0.0375,0.0675,0.0625,1.75,0.0,0.0,0.0,3.5625
D16,3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0625,0.0375,0.0375,0.0625,0.0375,0.0675,0.0625,1.75,0.0,0.0,0.0,3.5625
D17,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0375,0.0625,0.0125,0.0625,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.5625
D18,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0625,0.0125,0.0125,0.0375,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,3.5425
D19,3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0125,0.0625,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,3.5425
D20,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0625,0.0125,0.0125,0.0375,0.0375,0.1125,0.0625,1.75,0.0,0.0,0.0,3.5425
