nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,name
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.45,0.02,1.2,50,0.075,40,10,F13
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.02,2,50,0.075,8,10,F14
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.45,0.02,1.2,50,0.075,40,10,F15
0.033,0.0204,50,0.026,10,2,1.5,1,9,0.15,0.1,4,50,0.075,80,10,F16
0.033,0.0204,50,0.026,10,2,1.5,1,9,0.15,0.1,4,50,0.075,80,10,F17
0.033,0.0204,50,0.026,10,2,1.5,1,9,0.15,0.1,4,50,0.075,80,10,F18
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.1,0.4,50,0.075,24,10,F19
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.1,0.4,50,0.075,24,10,F20
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.1,0.4,50,0.075,24,10,F21
0.033,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,0.4,50,0.075,40,10,F22
0.033,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,0.4,50,0.075,40,10,F23
0.033,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,0.4,50,0.075,40,10,G2
0.033,0.0204,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,40,10,G3
0.033,0.0204,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,40,10,G4
0.033,0.0204,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,40,10,G5
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.02,4,50,0.225,80,10,G6
0.165,0.0204,50,0.078,10,2,0.45,0.3,9,0.45,0.1,0.4,50,0.225,24,10,G7
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.02,4,50,0.225,80,10,G8
0.165,0.0204,50,0.078,10,2,0.45,0.3,9,0.45,0.1,0.4,50,0.225,24,10,G9
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.02,4,50,0.225,80,10,G10
0.165,0.0204,50,0.078,10,2,0.45,0.3,9,0.45,0.1,0.4,50,0.225,24,10,G11
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.02,1.2,50,0.075,40,10,G12
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.02,1.2,50,0.075,40,10,G13
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.02,1.2,50,0.075,40,10,G14
0.099,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,40,10,G15
0.099,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,40,10,G16
0.099,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,40,10,G17
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,80,10,G18
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,80,10,G19
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,80,10,G20
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,80,10,G21
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,80,10,G22
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,80,10,G23
0.033,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,40,10,H2
0.099,0.0068,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,40,10,H3
0.165,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.02,2,50,0.075,40,10,H4
0.033,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,40,10,H5
0.099,0.0068,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,40,10,H6
0.165,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.02,2,50,0.075,40,10,H7
0.033,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,40,10,H8
0.099,0.0068,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,40,10,H9
0.165,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.02,2,50,0.075,40,10,H10
0.033,0.034,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,40,10,H11
0.033,0.034,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,40,10,H12
0.033,0.034,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,40,10,H13
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.45,0.02,2,50,0.075,40,10,H14
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.45,0.02,2,50,0.075,40,10,H15
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.45,0.02,2,50,0.075,40,10,H16
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,80,10,H17
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,80,10,H18
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,80,10,H19
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.02,2,50,0.225,40,10,H20
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.45,0.02,2,50,0.075,40,10,H21
0.165,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.06,2,50,0.075,40,10,H22
0.165,0.0204,50,0.026,10,2,0.75,0.3,15,0.45,0.06,2,50,0.075,40,10,H23
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.02,2,50,0.225,40,10,I2
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.45,0.02,2,50,0.075,40,10,I3
0.165,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.06,2,50,0.075,40,10,I4
0.165,0.0204,50,0.026,10,2,0.75,0.3,15,0.45,0.06,2,50,0.075,40,10,I5
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.02,2,50,0.225,40,10,I6
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.45,0.02,2,50,0.075,40,10,I7
0.165,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.06,2,50,0.075,40,10,I8
0.165,0.0204,50,0.026,10,2,0.75,0.3,15,0.45,0.06,2,50,0.075,40,10,I9
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,80,10,I10
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,80,10,I11
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,80,10,I12
0.033,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.1,2,50,0.225,40,10,I13
0.033,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.1,2,50,0.225,40,10,I14
0.033,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.1,2,50,0.225,40,10,I15
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,80,10,I16
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,80,10,I17
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,80,10,I18
0.033,0.0204,50,0.026,10,2,1.5,0.3,9,0.45,0.1,4,50,0.075,80,10,I19
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,80,10,I20
0.033,0.0204,50,0.026,10,2,1.5,0.3,9,0.45,0.1,4,50,0.075,80,10,I21
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,80,10,I22
0.033,0.0204,50,0.026,10,2,1.5,0.3,9,0.45,0.1,4,50,0.075,80,10,I23
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,80,10,J2
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.02,2,50,0.075,8,10,J3
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.02,2,50,0.075,8,10,J4
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.02,2,50,0.075,8,10,J5
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,80,10,J6
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,80,10,J7
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,80,10,J8
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,80,10,J9
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,80,10,J10
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,80,10,J11
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,80,10,J12
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,80,10,J13
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,80,10,J14
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,80,10,J15
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,80,10,J16
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,80,10,J17
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.06,0.4,50,0.075,40,10,J18
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.06,0.4,50,0.075,40,10,J19
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.06,0.4,50,0.075,40,10,J20
0.099,0.0068,50,0.026,10,2,0.15,0.1,15,0.75,0.06,2,50,0.375,8,10,J21
0.099,0.0068,50,0.026,10,2,0.15,0.1,15,0.75,0.06,2,50,0.375,8,10,J22
0.099,0.0068,50,0.026,10,2,0.15,0.1,15,0.75,0.06,2,50,0.375,8,10,J23
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,80,10,K2
0.165,0.068,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,80,10,K3
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,80,10,K4
0.165,0.068,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,80,10,K5
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,80,10,K6
