# nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,y_data,y_data_std,y_pr,y_std_pr
0.165,0.0204,0.078,0.75,0.5,15,0.75,0.02,2,0.075,40,0.6178,0.3364,0.894503,0.038475
0.033,0.0204,0.026,0.75,0.5,3,0.75,0.02,1.2,0.375,40,0.6337,0.1946,0.540237,0.055709
0.033,0.0204,0.13,0.45,0.3,15,0.45,0.1,0.4,0.075,40,0.646,0.0203,0.575139,0.045916
0.033,0.0068,0.026,0.15,0.1,3,0.15,0.02,4,0.075,8,0.7058,0.0272,0.520414,0.104075
0.165,0.0068,0.078,0.75,0.3,3,0.15,0.02,1.2,0.075,40,0.7139,0.095,1.051311,0.056512
0.033,0.0204,0.13,0.75,0.3,9,0.15,0.02,1.2,0.225,40,0.7356,0.0247,0.965365,0.043042
0.099,0.034,0.078,0.75,0.5,9,0.45,0.1,2,0.225,24,0.7801,0.085,0.589324,0.057728
0.033,0.034,0.13,0.75,0.5,15,0.15,0.06,2,0.225,40,0.7828,0.0492,0.886632,0.051501
0.033,0.0204,0.026,0.45,0.5,15,0.75,0.1,1.2,0.225,40,0.8109,0.0415,0.586918,0.062321
0.033,0.0068,0.026,0.75,0.3,15,0.75,0.02,2,0.375,24,0.8326,0.0585,0.610087,0.070616
0.165,0.0204,0.078,0.75,0.5,9,0.15,0.02,0.4,0.375,40,0.8742,0.2105,0.709303,0.07342
0.099,0.034,0.026,0.75,0.3,15,0.75,0.02,1.2,0.375,40,1,0.021,0.681617,0.058572
0.165,0.034,0.026,0.75,0.5,15,0.45,0.02,2,0.225,40,1.006,0.0393,0.989153,0.046089
0.033,0.0204,0.026,0.75,0.3,3,0.15,0.02,1.2,0.075,8,0.5005,0.0125,0.595417,0.062786
0.033,0.034,0.026,0.75,0.3,3,0.15,0.06,1.2,0.075,8,0.4967,0.0131,0.587158,0.051164
0.033,0.034,0.026,0.75,0.1,3,0.15,0.1,1.2,0.075,8,0.4774,0.0064,0.528562,0.066694
0.033,0.034,0.078,0.75,0.3,3,0.15,0.1,0.4,0.075,8,0.4678,0.0074,0.543266,0.058884
0.033,0.0204,0.026,0.75,0.5,3,0.15,0.02,1.2,0.075,24,0.713,0.0221,0.722509,0.050888
0.033,0.0068,0.026,0.75,0.5,3,0.15,0.06,0.4,0.075,40,0.984,0.0226,0.853437,0.075276
0.033,0.034,0.026,0.75,0.1,9,0.15,0.02,1.2,0.075,24,0.6668,0.0087,0.615607,0.053423
0.033,0.034,0.078,0.75,0.3,3,0.15,0.02,1.2,0.075,24,0.6383,0.0298,0.84823,0.053071
0.033,0.034,0.026,0.75,0.1,9,0.15,0.06,0.4,0.075,40,0.7758,0.0221,0.668703,0.054017
0.033,0.034,0.026,0.75,0.1,9,0.15,0.06,2,0.075,8,0.5377,0.0147,0.502691,0.085674
0.033,0.034,0.026,0.75,0.3,3,0.15,0.02,1.2,0.075,40,1.0398,0.0771,1.096348,0.040039
0.033,0.034,0.026,0.75,0.3,3,0.15,0.1,2,0.075,8,0.5243,0.0098,0.623271,0.063956
0.033,0.0204,0.026,0.75,0.1,3,0.15,0.1,1.2,0.075,40,0.9102,0.0657,1.035831,0.054875
0.033,0.034,0.026,0.75,0.5,9,0.15,0.1,1.2,0.075,8,0.5179,0.0185,0.581537,0.035834
0.033,0.034,0.026,0.75,0.5,3,0.15,0.02,1.2,0.075,40,1.0035,0.0292,0.914697,0.052592
0.033,0.034,0.026,0.75,0.5,3,0.15,0.02,2,0.075,24,0.7493,0.0186,0.712568,0.044558
