nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1,yield_to_PS,std_to_PS,yield_to_ORI,std_to_ORI
0.099,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10,1.6238,0.0284,rifaxamin,G15,0.133666,0.001988,0.15906254,0.00236572
0.165,0.0068,50,0.078,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,20,10,1.6446,0.0677,rifaxamin,D3,0.135122,0.004739,0.16079518,0.00563941
0.165,0.0068,50,0.078,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,20,10,1.6515,0.0123,rifaxamin,B14,0.135605,0.000861,0.16136995,0.00102459
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.02,2,50,0.075,4,10,1.6767,0.1015,rifaxamin,J3,0.137369,0.007105,0.16346911,0.00845495
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.02,2,50,0.075,4,10,1.6851,0.0298,rifaxamin,F10,0.137957,0.002086,0.16416883,0.00248234
0.033,0.034,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.7138,0.0453,rifaxamin,H11,0.139966,0.003171,0.16655954,0.00377349
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.1,0.4,50,0.075,12,10,1.7188,0.0987,rifaxamin,F19,0.140316,0.006909,0.16697604,0.00822171
0.033,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.7283,0.0632,rifaxamin,H2,0.140981,0.004424,0.16776739,0.00526456
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,40,10,1.7315,0.0323,rifaxamin,J6,0.141205,0.002261,0.16803395,0.00269059
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,1.2,50,0.075,20,10,1.7372,0.0145,rifaxamin,B20,0.141604,0.001015,0.16850876,0.00120785
0.033,0.0068,50,0.026,10,2,1.5,0.5,9,0.75,0.06,4,50,0.075,40,10,1.7668,0.0106,rifaxamin,K14,0.143676,0.000742,0.17097444,0.00088298
0.033,0.034,50,0.13,10,2,1.5,0.3,9,0.15,0.02,4,50,0.075,40,10,1.7941,0.1189,rifaxamin,E17,0.145587,0.008323,0.17324853,0.00990437
0.165,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.06,2,50,0.075,20,10,1.7971,0.0581,rifaxamin,H22,0.145797,0.004067,0.17349843,0.00483973
0.165,0.034,50,0.078,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,20,10,1.7998,0.1492,rifaxamin,D11,0.145986,0.010444,0.17372334,0.01242836
0.165,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.02,2,50,0.075,20,10,1.8024,0.0187,rifaxamin,H4,0.146168,0.001309,0.17393992,0.00155771
0.099,0.0068,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.8257,0.0248,rifaxamin,H3,0.147799,0.001736,0.17588081,0.00206584
0.165,0.0204,50,0.026,10,2,1.5,0.3,9,0.15,0.06,4,50,0.075,40,10,1.861,0.2421,rifaxamin,E18,0.15027,0.016947,0.1788213,0.02016693
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,40,10,1.8965,0.313,rifaxamin,E19,0.152755,0.02191,0.18177845,0.0260729
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,20,10,1.9043,0.0503,rifaxamin,C5,0.153301,0.003521,0.18242819,0.00418999
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.45,0.02,1.2,50,0.075,20,10,1.9843,0.1512,rifaxamin,F11,0.158901,0.010584,0.18909219,0.01259496
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,20,10,2.0054,0.0919,rifaxamin,C9,0.160378,0.006433,0.19084982,0.00765527
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,40,10,2.0118,0.0334,rifaxamin,E9,0.160826,0.002338,0.19138294,0.00278222
0.033,0.0068,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,40,10,2.0125,0.0673,rifaxamin,E5,0.160875,0.004711,0.19144125,0.00560609
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,40,10,2.0211,0.1715,rifaxamin,E8,0.161477,0.012005,0.19215763,0.01428595
0.099,0.0068,50,0.026,10,2,1.5,0.3,9,0.15,0.2,4,50,0.075,40,10,2.1366,0.0849,rifaxamin,F7,0.169562,0.005943,0.20177878,0.00707217
0.33,0.068,50,0.078,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,40,10,2.1548,0.0085,rifaxamin,K11,0.170836,0.000595,0.20329484,0.00070805
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,40,10,2.2083,0.0119,rifaxamin,F4,0.174581,0.000833,0.20775139,0.00099127
0.033,0.0204,50,0.026,10,2,1.5,0.3,9,0.45,0.1,4,50,0.075,40,10,2.2168,0.0315,rifaxamin,I19,0.175176,0.002205,0.20845944,0.00262395
0.099,0.034,50,0.026,10,2,1.5,0.3,9,0.75,0.1,4,50,0.075,40,10,2.2347,0.0492,rifaxamin,L3,0.176429,0.003444,0.20995051,0.00409836
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,40,10,2.2671,0.1244,rifaxamin,I20,0.178697,0.008708,0.21264943,0.01036252
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10,2.3208,0.0456,rifaxamin,K20,0.182456,0.003192,0.21712264,0.00379848
0.165,0.068,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,40,10,2.3605,0.089,rifaxamin,K3,0.185235,0.00623,0.22042965,0.0074137
0.033,0.0068,50,0.078,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,40,10,2.3741,0.1282,rifaxamin,N2,0.186187,0.008974,0.22156253,0.01067906
0.099,0.0204,50,0.13,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10,2.4458,0.05,rifaxamin,K23,0.191206,0.0035,0.22753514,0.004165
