name,Time_1,Time_2,Time_3,Time_4,Time_5
E9,28200,26734,26319,26113,25604
E10,26469,25503,25065,24646,24144
E11,31609,30582,30221,29741,29417
E12,30695,29778,29203,28758,28379
E13,32290,31547,31141,30643,30204
E14,23218,22451,22087,21849,21562
E15,23760,23195,22926,22705,22483
E16,20663,20205,19876,19690,19400
E17,23337,22573,22386,22062,21725
E18,24649,24030,23571,23185,22931
E19,20988,20617,20314,20081,19915
E20,21375,20703,20386,20040,19808
E21,22136,21393,21033,20709,20483
E22,19138,18368,18028,17662,17425
E23,20724,19975,19758,19557,19283
E24,444,444,444,444,446
F2,23763,22788,22298,21842,21434
F3,22602,21834,21439,21139,20901
F4,20767,19974,19527,19155,18806
F5,19387,18544,18224,17808,17549
F6,20029,19186,18769,18430,18124
F7,25526,24267,23841,23409,23142
F8,24462,23335,22796,22382,22040
F9,21760,20668,20347,19988,19738
F10,20342,20141,19808,19576,19385
F11,24914,24545,24679,24431,24118
F12,19265,19167,19076,18873,18811
F13,27742,27573,27791,27486,27313
F14,19683,19552,19495,19339,19184
F15,28578,28600,28776,28515,28371
F16,7934,7352,7064,6783,6544
F17,7959,7358,7025,6762,6484
F18,7305,6751,6483,6238,6025
F19,19908,19779,19448,19276,19118
F20,19296,19197,19019,18832,18702
F21,19257,19013,18861,18620,18528
F22,9789,9574,9343,9075,8863
F23,9140,8861,8654,8427,8230
F24,448,452,450,451,449
G2,7714,7467,7217,6994,6798
G3,12328,12089,11826,11547,11353
G4,13413,12891,12702,12552,12287
G5,12765,12512,12179,11895,11617
G6,17747,16765,16216,15800,15343
G7,21046,20692,20235,19886,19707
G8,18056,16947,16384,15875,15523
G9,21605,21113,20824,20445,20161
G10,17752,16753,16232,15694,15311
G11,18684,18413,18071,17719,17451
G12,13115,12791,12507,12310,12120
G13,13517,13051,12829,12617,12494
G14,15043,14706,14452,14261,14084
G15,13424,13263,13067,12739,12626
G16,16622,16230,15903,15577,15399
G17,13917,13854,13711,13526,13305
G18,15919,15175,14699,14408,14002
G19,16628,15755,15268,14975,14627
G20,16565,15645,15208,14921,14631
G21,6991,6499,6263,6005,5813
G22,7494,6950,6707,6444,6229
G23,7412,6808,6508,6205,6025
G24,441,445,445,443,440
H2,26047,25769,25375,25200,24853
H3,28253,28021,27648,27402,27253
H4,26825,26478,26243,25929,25814
H5,23341,23477,23179,23126,22899
H6,28535,28313,28043,27571,27436
H7,26950,26596,26254,25980,25960
H8,25508,25145,24823,24553,24271
H9,26896,26380,26238,25901,25762
H10,27209,26833,26500,26295,26020
H11,25062,24870,24636,24528,24415
H12,26094,25569,25408,25190,25095
H13,26950,27028,26705,26506,26436
H14,24018,23672,23471,23184,22872
H15,23472,23125,22951,22783,22654
H16,22874,22468,22273,22036,21934
H17,7937,7318,7041,6742,6475
H18,7650,7065,6774,6504,6267
H19,7437,6861,6578,6318,6134
H20,16560,16260,16071,15735,15523
H21,16308,16029,15792,15538,15316
H22,18924,18929,18748,18523,18274
H23,15947,15632,15383,15150,14950
H24,450,448,447,448,446
I2,13604,13339,13022,12742,12496
