name,Time_1,Time_2,Time_3,Time_4,Time_5
H16,25530,25496,25467,25583,25645
H17,13134,12926,12772,12810,12755
H18,12577,12316,12184,12162,12101
H19,13065,12791,12690,12645,12643
H20,25153,25162,25016,25112,25008
H21,27029,26963,26809,27029,26826
H22,25607,25756,25541,25688,25683
H23,20999,20918,20787,20785,20887
H24,165,168,164,170,168
I2,25008,24877,25046,25056,25057
I3,26581,26458,26370,26460,26395
I4,24504,24493,24564,24457,24267
I5,20969,20865,20967,20859,20824
I6,25008,24968,25110,25056,25030
I7,27502,27468,27599,27583,27348
I8,24942,24850,24896,24921,24900
I9,20738,20633,20749,20767,20759
I10,11777,11581,11468,11420,11340
I11,11315,11092,11014,10924,10901
I12,11978,11582,11603,11583,11472
I13,28878,28745,28785,28819,28695
I14,30055,30076,30160,30261,29945
I15,28623,28497,28610,28637,28405
I16,27214,26726,26631,26543,26039
I17,26301,25674,25410,25197,24763
I18,27710,27251,26939,26778,26749
I19,26807,26347,26227,26068,25939
I20,32288,31924,31925,31633,31655
I21,27504,27135,26991,26802,26618
I22,31255,31065,30940,30749,30451
I23,25248,24969,24895,24664,24429
I24,169,170,163,173,171
J2,29317,29024,28925,28648,28744
J3,13178,13187,13073,13045,13073
J4,11926,11857,11681,11770,11783
J5,13178,13121,12906,13039,13037
J6,22095,21922,21783,21696,21572
J7,22675,22503,22380,22236,22192
J8,21889,21816,21588,21456,21475
J9,8692,8452,8390,8393,8384
J10,33009,32830,32635,32458,32412
J11,9576,9338,9246,9220,9239
