nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1,normalised_yield,normalised_std
0.165,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.06,2,50,0.075,20,10,1.1229,0.0914,PS_full,H22,1.528541,0.117906
0.165,0.0204,50,0.026,10,2,0.75,0.3,15,0.45,0.06,2,50,0.075,20,10,1.0704,0.1031,PS_full,H23,1.460816,0.132999
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,40,10,0.1374,0.0047,PS_full,I10,0.257246,0.006063
0.033,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.1,2,50,0.225,20,10,0.9456,0.0336,PS_full,I13,1.299824,0.043344
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,40,10,1.9262,0.0214,PS_full,I16,2.564798,0.027606
0.033,0.0204,50,0.026,10,2,1.5,0.3,9,0.45,0.1,4,50,0.075,40,10,1.6864,0.0359,PS_full,I19,2.255456,0.046311
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,40,10,1.8297,0.0505,PS_full,I20,2.440313,0.065145
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.02,2,50,0.075,4,10,0.4217,0.0199,PS_full,J3,0.623993,0.025671
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,40,10,1.3229,0.037,PS_full,J6,1.786541,0.04773
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,40,10,0.1158,0.0228,PS_full,J9,0.229382,0.029412
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,40,10,2.0051,0.0211,PS_full,J10,2.666579,0.027219
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,0.0938,0.0205,PS_full,J11,0.201002,0.026445
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.06,0.4,50,0.075,20,10,0.5533,0.0446,PS_full,J18,0.793757,0.057534
0.099,0.0068,50,0.026,10,2,0.15,0.1,15,0.75,0.06,2,50,0.375,4,10,0.5585,0.0126,PS_full,J21,0.800465,0.016254
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,0.1588,0.0113,PS_full,K2,0.284852,0.014577
0.165,0.068,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,40,10,2.0191,0.0215,PS_full,K3,2.684639,0.027735
0.033,0.0204,50,0.026,10,2,0.75,0.5,9,0.75,0.02,2,50,0.075,20,10,0.8131,0.0299,PS_full,K8,1.128899,0.038571
0.33,0.068,50,0.078,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,40,10,1.8905,0.0393,PS_full,K11,2.518745,0.050697
0.033,0.0068,50,0.026,10,2,1.5,0.5,9,0.75,0.06,4,50,0.075,40,10,1.5611,0.046,PS_full,K14,2.093819,0.05934
0.165,0.034,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,40,10,2.2414,0.0026,PS_full,K17,2.971406,0.003354
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10,2.0018,0.0153,PS_full,K20,2.662322,0.019737
0.099,0.0204,50,0.13,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10,1.9887,0.121,PS_full,K23,2.645423,0.15609
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10,2.0636,0.0904,PS_full,L2,2.742044,0.116616
0.099,0.034,50,0.026,10,2,1.5,0.3,9,0.75,0.1,4,50,0.075,40,10,2.0138,0.029,PS_full,L3,2.677802,0.03741
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.225,40,10,1.9851,0.1111,PS_full,L10,2.640779,0.143319
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10,2.0144,0.0775,PS_full,L11,2.678576,0.099975
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,40,10,2.0115,0.1161,PS_full,L12,2.674835,0.149769
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.1,2,50,0.075,40,10,1.6652,0.0368,PS_full,L19,2.228108,0.047472
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.06,2,50,0.075,40,10,1.7474,0.0334,PS_full,L20,2.334146,0.043086
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,40,10,2.1036,0.0124,PS_full,M3,2.793644,0.015996
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,40,10,2.0762,0.0304,PS_full,M4,2.758298,0.039216
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,2.154,0.0192,PS_full,M9,2.85866,0.024768
0.099,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,2.1071,0.1182,PS_full,M10,2.798159,0.152478
0.165,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.1,4,50,0.075,40,10,1.9153,0.0524,PS_full,M15,2.550737,0.067596
0.033,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,40,10,1.7474,0.0319,PS_full,M18,2.334146,0.041151
0.165,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,2.0774,0.0371,PS_full,M21,2.759846,0.047859
0.033,0.0068,50,0.078,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,40,10,1.6745,0.0426,PS_full,N2,2.240105,0.054954
0.165,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,40,10,2.1689,0.0144,PS_full,N5,2.877881,0.018576
0.033,0.068,50,0.13,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,2.0523,0.0549,PS_full,N6,2.727467,0.070821
0.099,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.075,40,10,2.1416,0.0387,PS_full,N7,2.842664,0.049923
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,40,10,2.0194,0.0589,PS_full,N8,2.685026,0.075981
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.375,40,10,1.9747,0.0812,PS_full,N9,2.627363,0.104748
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,40,10,2.05,0.0113,PS_full,N20,2.7245,0.014577
