Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,predict_yield,pi,ei,ucb
6.03,240.0,1.5075,0.255,45.0,2.25,2.0100000000000002,10.0,1.7965323558833184,0.00018184150861852078,2.1450911899043045e-05,11.318092315527732
9.0,120.0,1.5075,0.495,45.0,2.25,1.5,10.0,2.1892683500789456,0.0021007122143969752,0.00028066556997161443,11.304049514411341
1.53,40.800000000000004,2.25,1.5,22.5,2.25,0.0,10.0,1.6692808388508293,7.445534203170906e-05,8.442476031709682e-06,11.289973777438554
1.53,240.0,2.25,1.5,45.0,1.5075,0.51,10.0,1.1141172141914204,1.451072644478405e-06,1.4592084615946006e-07,11.288428442399645
9.0,0.0,2.25,0.75,45.0,2.25,3.0,6.4,1.668204226135522,7.360065894547071e-05,8.339056201480999e-06,11.287306864887666
6.03,79.2,2.25,0.0,45.0,2.25,0.99,8.2,2.244473350834822,0.0027792702738735284,0.00037577084630549627,11.25659005697449
6.03,240.0,2.25,0.0,30.150000000000002,2.25,3.0,6.4,1.1816207169959227,2.204208696932833e-06,2.229825546014826e-07,11.253580982986906
2.97,120.0,1.5075,1.5,45.0,2.25,3.0,10.0,1.7944630412660327,0.0001626305517091971,1.8928502583929205e-05,11.250226157430756
9.0,160.8,2.25,0.0,45.0,1.5075,3.0,1.0,0.36340059038496975,4.33591763176099e-09,3.8821576672923325e-10,11.241841781136529
6.03,240.0,2.25,1.0050000000000001,45.0,1.5075,3.0,8.2,1.066685698054732,9.107807975866061e-07,8.998800795513616e-08,11.237948774853237
9.0,120.0,2.25,0.0,45.0,2.25,2.0100000000000002,4.6000000000000005,1.413888375196679,1.1443826513346301e-05,1.209385372891938e-06,11.236846014647472
9.0,120.0,2.25,1.0050000000000001,45.0,2.25,2.0100000000000002,6.4,1.705436992467554,8.588752796518081e-05,9.710444576744058e-06,11.224860487909535
9.0,240.0,1.5075,0.0,45.0,0.0,3.0,1.0,-0.18421368366935553,5.471539236227772e-11,4.6245341710714966e-12,11.213759865448806
6.03,40.800000000000004,2.25,0.255,45.0,0.7425,3.0,10.0,1.2912841030673103,4.4324779366481106e-06,4.539092966848709e-07,11.205132797893684
2.97,40.800000000000004,2.25,1.0050000000000001,45.0,1.125,3.0,10.0,1.5603203920811382,3.0273701650820954e-05,3.28598917483426e-06,11.201832955217888
0.0,40.800000000000004,2.25,0.75,45.0,1.5075,2.0100000000000002,10.0,1.829326171937831,0.0001897250244015305,2.2072422727392954e-05,11.196207499081197
9.0,0.0,2.25,0.495,45.0,0.0,1.5,10.0,0.5170155593472145,1.2204856034339804e-08,1.1028111215583428e-09,11.190722806608347
6.03,0.0,2.25,0.495,45.0,1.5075,1.5,10.0,1.9443341087245205,0.00039917146573411385,4.796616265121789e-05,11.185769114905469
2.97,160.8,2.25,1.5,45.0,1.5075,3.0,8.2,1.2272250778243734,2.5817465332229407e-06,2.5949082012737847e-07,11.172240835525521
9.0,79.2,2.25,0.495,30.150000000000002,2.25,0.0,10.0,1.8765192190874842,0.00025066536069141994,2.9424556086978828e-05,11.171223364351594
9.0,160.8,0.7425,0.0,45.0,2.25,0.0,10.0,1.352934172399431,6.4548766679622955e-06,6.649083481777985e-07,11.169431378800304
1.53,40.800000000000004,2.25,0.255,45.0,2.25,3.0,4.6000000000000005,1.472264706019475,1.514121728448109e-05,1.5989445240669853e-06,11.164538338065098
1.53,240.0,2.25,1.0050000000000001,45.0,2.25,0.51,10.0,1.8005802745774897,0.00014927855813713121,1.7120655521079284e-05,11.164338718150828
0.0,240.0,1.125,1.5,0.0,0.0,3.0,10.0,-0.4376093736046265,5.997346776360973e-12,4.927111782907362e-13,11.158077915079474
2.97,79.2,2.25,0.0,45.0,2.25,0.0,10.0,1.9584574945888065,0.00042159737447215105,5.060572059892841e-05,11.157245261170614
9.0,40.800000000000004,2.25,1.5,7.65,2.25,0.0,8.2,1.052257343786044,6.751762631463333e-07,6.555954267694793e-08,11.157086857024105
