Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,predict_yield,pi,ei,ucb
9.0,79.2,0.0,1.0050000000000001,30.150000000000002,2.25,3.0,10.0,1.0867298519094888,5.0425780286792036e-17,2.89097659383642e-18,10.871286986366156
9.0,240.0,2.25,0.0,7.65,0.0,0.0,4.6000000000000005,-0.1741936408502074,2.5020982433747316e-22,1.4018800479542955e-23,10.860500471433587
2.97,0.0,2.25,0.0,22.5,2.25,1.5,10.0,1.9797472244441998,3.557545329003742e-13,2.1116822953819515e-14,10.811973717420491
9.0,40.800000000000004,0.7425,0.0,14.850000000000001,2.25,3.0,10.0,1.0674578344565493,2.42949076887544e-17,1.3715626362489004e-18,10.79731348194203
9.0,0.0,2.25,1.5,0.0,1.5075,0.99,1.0,-0.06055392222898526,4.091136216047711e-22,2.2664878608353398e-23,10.795474413311783
0.0,120.0,2.25,1.5,22.5,0.3825,3.0,1.0,-0.1266350756464627,1.606278211315059e-22,8.837661568593e-24,10.758295725435367
0.0,0.0,0.7425,1.5,45.0,0.3825,0.0,1.0,-0.15482136557361148,8.720415887740581e-23,4.763466077861951e-24,10.718515300009937
1.53,40.800000000000004,1.5075,1.5,0.0,0.3825,3.0,10.0,-0.19934908211778968,5.626951461134634e-23,3.0720314772992264e-24,10.715643260404839
1.53,240.0,1.5075,1.0050000000000001,45.0,0.0,3.0,4.6000000000000005,-0.09808175824834109,1.4162565720255566e-22,7.729908385535035e-24,10.713606464077326
0.0,40.800000000000004,0.0,0.255,45.0,0.0,0.51,1.0,-0.018526506594175984,2.9561212034282255e-22,1.6134422739173e-23,10.71252273806269
9.0,240.0,0.0,0.255,45.0,1.5075,3.0,1.0,-0.0071761541227175485,2.9658439407219664e-22,1.615304977024142e-23,10.700677933049118
4.5,40.800000000000004,0.3825,1.5,22.5,2.25,3.0,10.0,1.022447452695653,7.123837611600722e-18,3.9342577280943304e-19,10.694662640148751
6.03,160.8,1.5075,1.5,45.0,2.25,0.99,8.2,1.394606304968363,2.8830046285206363e-16,1.6055806731200295e-17,10.671871713706828
2.97,240.0,2.25,1.0050000000000001,30.150000000000002,1.125,3.0,10.0,0.5524415470040953,4.8391971117687817e-20,2.629641485278998e-21,10.66329599736553
0.0,240.0,0.3825,0.0,45.0,0.0,0.0,10.0,0.0956164698563251,5.549829729649809e-22,3.001722816644597e-23,10.660879370771234
6.03,240.0,0.7425,1.5,0.0,0.0,0.51,8.2,-0.371020184279228,6.903250958289812e-24,3.7314624528666076e-25,10.658236209865695
0.0,0.0,0.7425,1.5,45.0,0.0,0.51,1.0,-0.1535718202796632,4.3920468492521206e-23,2.3654668733471736e-24,10.640461427357007
6.03,0.0,2.25,0.0,30.150000000000002,0.7425,2.0100000000000002,10.0,0.9920655096232274,3.1997508479780273e-18,1.7432397609543432e-19,10.631457702844646
9.0,40.800000000000004,2.25,1.0050000000000001,30.150000000000002,1.125,0.51,10.0,1.0177054511683146,4.058008059330312e-18,2.2107897507158456e-19,10.627995968373895
4.5,240.0,0.0,1.5,22.5,0.3825,3.0,10.0,-0.23843488941617963,1.6133665244932504e-23,8.653936069933807e-25,10.6173897907709
0.0,240.0,0.7425,0.0,45.0,0.0,0.99,1.0,-0.018254019724999182,1.2472687117282553e-22,6.686525911719355e-24,10.614762903638068
0.0,240.0,2.25,1.0050000000000001,45.0,0.3825,2.0100000000000002,6.4,0.1856420804882486,7.989982161231434e-22,4.277578035531114e-23,10.603823610829211
9.0,79.2,2.25,0.255,45.0,1.125,0.51,8.2,1.2896061318926755,5.605538378643805e-17,3.062298030758436e-18,10.599632043788443
0.0,79.2,2.25,0.0,7.65,0.0,3.0,4.6000000000000005,-0.16955839625319413,2.324582771590704e-23,1.239875798180687e-24,10.587041559691645
9.0,240.0,2.25,0.0,0.0,0.7425,0.51,2.8000000000000003,-0.21856096442879647,1.3197538853226377e-23,7.025084299295044e-25,10.575441986657765
1.53,160.8,2.25,0.0,45.0,0.7425,3.0,4.6000000000000005,0.6039111092838372,3.101959616669631e-20,1.6495956974520554e-21,10.548808094282405
6.03,0.0,2.25,0.495,45.0,2.25,3.0,4.6000000000000005,1.3955077280289352,9.753341076264603e-17,5.263503946759433e-18,10.522887653453685
