nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1
0.099,0.0204,50,0.026,10,2,1.5,0.3,9,0.75,0.1,4,50,0.075,80,10,2.2537,0.0465,plate_AL_8,N8
0.165,0.0068,50,0.026,10,2,1.5,0.3,9,0.75,0.1,4,50,0.075,80,10,2.199,0.027,plate_AL_8,N9
0.099,0.034,50,0.026,10,2,1.5,0.3,9,0.75,0.1,4,50,0.075,80,10,2.0771,0.1773,plate_AL_8,N14
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,80,10,1.9267,0.347,plate_AL_8,N15
0.033,0.034,50,0.026,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,80,10,2.3158,0.0597,plate_AL_8,N20
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,80,10,2.3832,0.0202,plate_AL_8,N21
0.165,0.068,50,0.026,10,2,1.5,0.1,9,0.75,0.06,4,50,0.075,80,10,2.2781,0.1114,plate_AL_8,O4
0.099,0.068,50,0.078,10,2,1.5,0.3,9,0.75,0.02,4,50,0.075,80,10,2.1636,0.0423,plate_AL_8,O5
0.165,0.068,50,0.078,10,2,1.5,0.1,9,0.75,0.06,4,50,0.075,80,10,2.1594,0.0519,plate_AL_8,O10
0.165,0.068,50,0.026,10,2,1.5,0.3,9,0.75,0.1,4,50,0.075,80,10,2.195,0.0547,plate_AL_8,O13
0.165,0.068,50,0.078,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,80,10,2.1443,0.0741,plate_AL_8,O14
0.099,0.068,50,0.026,10,2,1.5,0.3,9,0.75,0.2,4,50,0.075,80,10,2.3068,0.0462,plate_AL_8,O19
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10,0.9066,0.0457,plate_AL_8,P2
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10,1,0.1059,plate_AL_8,P3
0.165,0.0204,50,0.078,10,2,0.75,0.5,9,0.15,0.02,0.4,50,0.375,40,10,0.5051,0.0452,plate_AL_8,P4
0.033,0.0068,50,0.026,10,2,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10,0.8646,0.1588,plate_AL_8,P5
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,80,10,2.353,0.0913,plate_AL_8,P6
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,2.188,0.0823,plate_AL_8,P7
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,80,10,2.0579,0.2187,plate_AL_8,P8
