nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.034,50,0.026,10,2,0.75,0.1,3,0.45,0.06,0.4,50,0.075,24,10,23382,24143,13611,G15,G17,G19,20378.7,4795.5,0.5909,0.2017,plate_AL_2
0.033,0.0204,50,0.026,10,2,0.75,0.1,3,0.45,0.02,0.4,50,0.075,40,10,32565,30414,30489,G16,G18,G20,31156,996.8,1.0443,0.0419,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.3,3,0.45,0.06,1.2,50,0.075,8,10,17761,17304,17737,G21,G22,G23,17600.7,210,0.474,0.0088,plate_AL_2
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.45,0.02,0.4,50,0.075,40,10,23503,26447,22862,H2,H4,H6,24270.7,1561,0.7546,0.0657,plate_AL_2
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.45,0.1,1.2,50,0.075,8,10,15993,16100,16855,H3,H5,H7,16316,383.6,0.42,0.0161,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.02,2,50,0.075,8,10,17192,17252,16666,H8,H13,H18,17036.7,263.2,0.4503,0.0111,plate_AL_2
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.45,0.02,1.2,50,0.075,40,10,35131,36034,37035,H9,H14,H19,36066.7,777.6,1.2508,0.0327,plate_AL_2
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.45,0.02,2,50,0.075,24,10,27149,27986,27441,H10,H15,H20,27525.3,346.9,0.8915,0.0146,plate_AL_2
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.45,0.1,0.4,50,0.075,40,10,33728,35430,38281,H11,H16,H21,35813,1878.4,1.2402,0.079,plate_AL_2
0.033,0.0204,50,0.026,10,2,0.75,0.1,3,0.45,0.06,1.2,50,0.075,40,10,33673,32867,32556,H12,H17,H22,33032,470.7,1.1232,0.0198,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.1,3,0.45,0.06,1.2,50,0.075,40,10,29355,31063,35535,H23,I7,I13,31984.3,2605.7,1.0791,0.1096,plate_AL_2
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.02,0.4,50,0.075,40,10,26973,26861,28139,I2,I8,I14,27324.3,577.9,0.8831,0.0243,plate_AL_2
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.1,0.4,50,0.075,24,10,21112,21572,23062,I3,I9,I15,21915.3,832.3,0.6555,0.035,plate_AL_2
0.099,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.02,1.2,50,0.075,24,10,23399,23012,23022,I4,I10,I16,23144.3,180.1,0.7072,0.0076,plate_AL_2
0.033,0.0068,50,0.026,10,2,0.75,0.3,3,0.45,0.02,2,50,0.075,40,10,35896,35529,36664,I5,I11,I17,36029.7,472.9,1.2493,0.0199,plate_AL_2
0.033,0.034,50,0.078,10,2,0.75,0.1,3,0.45,0.1,0.4,50,0.075,40,10,29433,31057,30450,I6,I12,I18,30313.3,670,1.0088,0.0282,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.1,0.4,50,0.075,40,10,31891,30289,30132,I19,J3,J9,30770.7,794.8,1.028,0.0334,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.1,3,0.45,0.02,2,50,0.075,40,10,33807,35867,36607,I20,J4,J10,35427,1184.7,1.2239,0.0498,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.1,1.2,50,0.075,24,10,23543,23521,24163,I21,J5,J11,23742.3,297.6,0.7324,0.0125,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.3,3,0.45,0.06,2,50,0.075,24,10,26303,24885,24802,I22,J6,J12,25330,688.8,0.7992,0.029,plate_AL_2
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.45,0.1,1.2,50,0.075,40,10,32944,33442,34949,I23,J7,J13,33778.3,852.4,1.1546,0.0359,plate_AL_2
0.033,0.034,50,0.078,10,2,0.75,0.3,3,0.45,0.1,1.2,50,0.075,24,10,25020,25482,25334,J2,J8,J14,25278.7,192.6,0.797,0.0081,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.06,1.2,50,0.075,40,10,31403,30781,29260,J15,J19,J23,30481.3,900.2,1.0159,0.0379,plate_AL_2
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.45,0.02,2,50,0.075,40,10,30320,29587,28277,J16,J20,K2,29394.7,845.1,0.9702,0.0356,plate_AL_2
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.1,2,50,0.075,8,10,16859,16411,15609,J17,J21,K3,16293,517.1,0.419,0.0218,plate_AL_2
0.099,0.034,50,0.026,10,2,0.75,0.1,3,0.45,0.02,2,50,0.075,40,10,40967,31377,34805,J18,J22,K4,35716.3,3967.8,1.2361,0.1669,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.02,1.2,50,0.075,40,10,31739,32938,35107,K5,K10,K15,33261.3,1393.9,1.1328,0.0586,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.02,2,50,0.075,24,10,28938,27979,30722,K6,K11,K16,29213,1136.6,0.9625,0.0478,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.1,9,0.45,0.02,2,50,0.075,40,10,32590,36961,40707,K7,K12,K17,36752.7,3317,1.2797,0.1395,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.1,2,50,0.075,8,10,20816,22098,21800,K8,K13,K18,21571.3,547.8,0.641,0.023,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.1,1.2,50,0.075,24,10,28379,28552,27110,K9,K14,K19,28013.7,642.9,0.9121,0.027,plate_AL_2
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.06,1.2,50,0.075,40,10,28061,27366,26088,K20,K22,L2,27171.7,817.1,0.8766,0.0344,plate_AL_2
0.099,0.034,50,0.026,10,2,0.75,0.3,3,0.45,0.1,1.2,50,0.075,40,10,40140,33270,35094,K21,K23,L3,36168,2905.7,1.2551,0.1222,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.06,2,50,0.075,40,10,30481,29144,30323,L4,L8,L12,29982.7,596.5,0.9949,0.0251,plate_AL_2
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.1,1.2,50,0.075,40,10,28624,28714,27495,L5,L9,L13,28277.7,554.6,0.9232,0.0233,plate_AL_2
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.1,2,50,0.075,24,10,20252,23021,23683,L6,L10,L14,22318.7,1486.1,0.6725,0.0625,plate_AL_2
0.099,0.034,50,0.026,10,2,0.75,0.1,3,0.45,0.1,2,50,0.075,40,10,34515,37415,36492,L7,L11,L15,36140.7,1209.7,1.254,0.0509,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.1,1.2,50,0.075,40,10,36983,34913,36108,L16,L18,L20,36001.3,848.4,1.2481,0.0357,plate_AL_2
