original_plate,repeated_plate,Name_original,Name_repeated,Mean_original,Std_original,Mean_repeated,Std_repeated,nad,folinic_acid,DNA,coa,peg,RBS,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter
plate_AL_4,plate_AL_5,P5,P5,0.7731,0.3356,0.8348,0.0593,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_4,plate_AL_6,P5,P5,0.7731,0.3356,0.8793,0.0245,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_4,plate_AL_7,P5,P5,0.7731,0.3356,0.9843,0.0935,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_4,plate_AL_8,P5,P5,0.7731,0.3356,0.8646,0.1588,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_4,plate_AL_9,P5,P5,0.7731,0.3356,0.8511,0.0331,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_4,plate_AL_10,P5,P5,0.7731,0.3356,0.9898,0.0402,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_5,plate_AL_6,P5,P5,0.8348,0.0593,0.8793,0.0245,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_5,plate_AL_7,P5,P5,0.8348,0.0593,0.9843,0.0935,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_5,plate_AL_8,P5,P5,0.8348,0.0593,0.8646,0.1588,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_5,plate_AL_9,P5,P5,0.8348,0.0593,0.8511,0.0331,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_5,plate_AL_10,P5,P5,0.8348,0.0593,0.9898,0.0402,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_6,plate_AL_7,P5,P5,0.8793,0.0245,0.9843,0.0935,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_6,plate_AL_8,P5,P5,0.8793,0.0245,0.8646,0.1588,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_6,plate_AL_9,P5,P5,0.8793,0.0245,0.8511,0.0331,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_6,plate_AL_10,P5,P5,0.8793,0.0245,0.9898,0.0402,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_7,plate_AL_8,P5,P5,0.9843,0.0935,0.8646,0.1588,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_7,plate_AL_9,P5,P5,0.9843,0.0935,0.8511,0.0331,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_7,plate_AL_10,P5,P5,0.9843,0.0935,0.9898,0.0402,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
