nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1,normalised_yield,normalised_sd
0.165,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.375,40,10,0.9482,0.021,DH5,O4,1.840228,0.03234
0.165,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.02,2,50,0.075,20,10,0.9492,0.0203,DH5,H4,1.841768,0.031262
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,40,10,0.9537,0.0328,DH5,I16,1.848698,0.050512
0.33,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,40,10,0.9543,0.0093,DH5,O13,1.849622,0.014322
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,0.9574,0.0171,DH5,P7,1.854396,0.026334
0.099,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.075,40,10,0.9612,0.0119,DH5,N7,1.860248,0.018326
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,0.9664,0.0064,DH5,M9,1.868256,0.009856
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.06,2,50,0.075,40,10,0.9721,0.0174,DH5,L20,1.877034,0.026796
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.1,2,50,0.075,40,10,0.9738,0.013,DH5,L19,1.879652,0.02002
0.033,0.0068,50,0.026,10,2,0.45,0.1,15,0.15,0.06,0.4,50,0.075,20,10,0.9752,0.0138,DH5,B8,1.881808,0.021252
0.099,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,40,10,0.9759,0.019,DH5,O8,1.882886,0.02926
0.033,0.0068,50,0.026,10,2,1.5,0.5,9,0.75,0.06,4,50,0.075,40,10,0.9821,0.007,DH5,K14,1.892434,0.01078
