nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,AB,AB_std,OB,OB_std,PS,PS_std,rifaxamin,rifaxamin_std,spectomycin,spectomycin_std,DH5_alpha,DH5_alpha_std,model,model_std,In_20
0.033,0.0068,0.026,0.75,0.3,9,0.15,0.06,2,0.225,20,0.8901,0.0173,1.1475,0.0206,0.8328,0.0278,1.3501,0.0429,1.3234,0.0664,1.2029,0.0365,1.178764,0.02949,
0.033,0.0068,0.026,0.45,0.3,15,0.15,0.1,2,0.225,20,0.5507,0.0317,1.177,0.0276,0.7089,0.0201,1.1257,0.061,0.9255,0.1108,1.1345,0.0103,0.945619,0.052689,yes
0.165,0.0204,0.026,0.75,0.3,15,0.45,0.06,2,0.075,20,0.9092,0.0749,1.1858,0.091,1.0704,0.1031,1.4963,0.0238,1.1897,0.0735,0.7532,0.0021,1.178106,0.031889,
0.165,0.0068,0.078,0.75,0.3,9,0.15,0.02,2,0.225,20,0.8977,0.0207,1.2088,0.0981,0.8463,0.0738,1.4383,0.0929,1.1381,0.0475,1.0143,0.013,1.121632,0.041863,
0.033,0.034,0.026,0.75,0.3,15,0.45,0.1,2,0.225,20,0.7753,0.0454,1.2172,0.0124,0.9456,0.0336,1.2733,0.0514,1.1234,0.0113,1.0799,0.0266,1.057462,0.036255,yes
0.099,0.034,0.13,0.75,0.3,9,0.15,0.02,2,0.225,20,0.9745,0.0389,1.2291,0.0647,0.8319,0.0062,1.3809,0.0428,1.1976,0.0457,1.2162,0.0229,1.108794,0.035563,
0.033,0.0204,0.026,0.75,0.3,3,0.45,0.02,1.2,0.075,20,1.5748,0.1197,1.2508,0.0327,1.0407,0.0125,1.9843,0.1512,1.3375,0.0269,1.1543,0.0204,1.083321,0.037282,
0.099,0.0068,0.078,0.75,0.1,9,0.45,0.1,2,0.075,20,1.5891,0.0496,1.2671,0.0061,1.174,0.0308,1.8257,0.0248,1.2773,0.0804,0.942,0.0111,1.12092,0.039853,
0.033,0.0068,0.26,1.5,0.1,9,0.15,0.02,4,0.075,40,1.2138,0.0856,1.3691,0.0373,1.5363,0.1138,1.6118,0.0147,1.4439,0.0168,1.2628,0.0683,1.536553,0.087344,
0.165,0.068,0.026,1.5,0.5,9,0.15,0.02,4,0.225,40,0.8327,0.0062,1.4025,0.0304,1.1536,0.0331,1.5573,0.0297,1.2891,0.0314,0.8141,0.0219,1.439593,0.053391,
0.165,0.068,0.026,1.5,0.5,9,0.15,0.1,4,0.225,40,0.7683,0.0196,1.453,0.0055,1.0674,0.0367,1.5922,0.0644,1.2822,0.0404,0.8256,0.0055,1.420964,0.035926,
0.165,0.0204,0.026,1.5,0.3,9,0.15,0.06,4,0.075,40,1.2447,0.0667,1.5186,0.212,1.4525,0.0527,1.861,0.2421,1.4289,0.0359,1.0484,0.1327,1.757964,0.038174,
