AlaRS,ArgRS,AsnRS,AspRS,CysRS,GlnRS,GluRS,GlyRS,HisRS,IleRS,LeuRS,LysRS,MetRS,PheRS,ProRS,SerRS,ThrRS,TrpRS,TyrRS,ValRS,IF1,IF2,IF3,EF-G,EF-Tu,EF-Ts,RF1,RF2,RF3,RRF,MTF,CK,MK,NDK,Ppiase,T7RNAP,Replicate 1,Replicate 2,Replicate 3
286.67,24.73,83.65,121.40,18.39,23.94,234.20,68.82,3.40,151.49,32.92,110.73,16.51,106.28,160.13,23.55,68.11,17.65,5.05,1.48,1204.82,164.27,291.26,386.60,461.89,657.89,98.77,145.63,167.79,291.26,175.44,64.69,82.95,56.77,12.38,101.11,3.09617846,2.508136771,4.973304078
286.67,12.36,83.65,48.56,4.60,35.91,93.68,17.20,3.40,227.23,24.69,110.73,16.51,106.28,160.13,31.40,17.03,11.76,12.63,5.91,963.86,82.14,388.35,515.46,461.89,1315.79,98.77,242.72,134.23,388.35,292.40,21.56,110.60,28.39,12.38,101.11,4.097275553,3.486743463,4.221795575
286.67,30.91,83.65,121.40,13.79,35.91,46.84,17.20,13.62,227.23,41.15,44.29,11.01,106.28,160.13,15.70,34.05,29.41,12.63,2.96,722.89,328.54,194.17,386.60,2309.47,986.84,197.53,194.17,100.67,291.26,175.44,64.69,27.65,70.97,6.19,60.67,-2.864874749,2.711098921,3.798317791
430.00,18.55,334.60,24.28,4.60,47.87,187.36,51.61,10.21,151.49,41.15,44.29,16.51,53.14,160.13,23.55,68.11,23.53,5.05,7.39,722.89,246.41,485.44,128.87,923.79,328.95,98.77,97.09,67.11,291.26,58.48,107.82,55.30,28.39,6.19,60.67,0.121411593,0.885536661,4.557505943
716.67,24.73,250.95,24.28,13.79,47.87,46.84,34.41,6.81,75.74,32.92,88.58,22.02,106.28,128.10,31.40,68.11,23.53,10.11,2.96,722.89,246.41,485.44,515.46,1385.68,1315.79,246.91,97.09,67.11,194.17,58.48,21.56,138.25,56.77,18.58,60.67,-0.890656427,5.903638691,2.065459865
143.33,30.91,167.30,121.40,18.39,11.97,93.68,68.82,10.21,378.72,32.92,110.73,27.52,26.57,160.13,7.85,17.03,5.88,12.63,4.44,963.86,328.54,291.26,257.73,461.89,1644.74,148.15,194.17,134.23,194.17,116.96,86.25,55.30,70.97,12.38,40.44,1.411044067,5.703967819,4.16090693
716.67,30.91,167.30,97.12,13.79,47.87,234.20,17.20,3.40,75.74,24.69,88.58,16.51,53.14,160.13,31.40,85.14,11.76,12.63,1.48,963.86,246.41,388.35,128.87,2309.47,1315.79,197.53,194.17,134.23,194.17,58.48,43.13,55.30,70.97,6.19,60.67,-0.906564271,3.498811483,7.813128543
716.67,12.36,83.65,97.12,22.99,23.94,140.52,34.41,6.81,75.74,8.23,44.29,16.51,53.14,64.05,39.26,85.14,5.88,12.63,7.39,722.89,328.54,291.26,386.60,2309.47,1644.74,148.15,194.17,33.56,291.26,116.96,86.25,82.95,42.58,18.58,60.67,-0.107332236,2.791735235,8.83013348
286.67,24.73,250.95,24.28,4.60,23.94,93.68,86.02,3.40,302.97,41.15,22.15,27.52,132.85,32.03,7.85,85.14,29.41,7.58,2.96,963.86,328.54,194.17,644.33,2309.47,986.84,246.91,145.63,134.23,194.17,292.40,21.56,27.65,28.39,24.77,20.22,6.711098921,5.298592064,5.892119217
286.67,12.36,418.25,24.28,4.60,11.97,46.84,34.41,10.21,227.23,41.15,22.15,22.02,106.28,160.13,39.26,68.11,11.76,7.58,1.48,240.96,246.41,97.09,644.33,923.79,328.95,148.15,48.54,100.67,388.35,233.92,107.82,55.30,14.19,6.19,60.67,5.937100018,4.816419821,6.138965076
143.33,6.18,250.95,97.12,18.39,11.97,234.20,68.82,3.40,302.97,8.23,22.15,22.02,132.85,32.03,7.85,34.05,5.88,10.11,5.91,481.93,246.41,194.17,515.46,1385.68,657.89,246.91,194.17,33.56,291.26,292.40,64.69,82.95,42.58,24.77,101.11,4.639787895,4.169135125,3.10221247
