nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.06,2,50,0.075,40,10,25743,26799,26398,L20,L22,M2,26313.3,435.2,0.9721,0.0174,DH5
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.1,2,50,0.075,40,10,25951,26364,26751,L19,L21,L23,26355.3,326.7,0.9738,0.013,DH5
0.033,0.0068,50,0.026,10,2,0.45,0.1,15,0.15,0.06,0.4,50,0.075,20,10,26736,26516,25918,B8,B9,B10,26390,345.6,0.9752,0.0138,DH5
0.099,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,40,10,25886,26297,27039,O8,O10,O12,26407.3,477.1,0.9759,0.019,DH5
0.033,0.0068,50,0.026,10,2,1.5,0.5,9,0.75,0.06,4,50,0.075,40,10,26737,26323,26632,K14,K15,K16,26564,175.7,0.9821,0.007,DH5
0.099,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,26442,26233,27092,M10,M12,M14,26589,365.8,0.9831,0.0146,DH5
0.165,0.034,50,0.078,10,2,0.75,0.3,15,0.15,0.02,2,50,0.075,20,10,26403,26636,27436,D19,D21,D23,26825,442.4,0.9926,0.0176,DH5
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.45,0.02,2,50,0.075,20,10,26826,26395,27348,H21,I3,I7,26856.3,389.7,0.9938,0.0155,DH5
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10,26400,28632,26003,P3,P10,P17,27011.7,1157.2,1,0.0462,DH5
0.099,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10,26971,27402,27182,G15,G16,G17,27185,176,1.0069,0.007,DH5
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,40,10,27511,27085,27210,M3,M5,M7,27268.7,178.8,1.0103,0.0071,DH5
0.165,0.068,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,40,10,26566,27530,27758,K3,K5,K7,27284.7,516.6,1.0109,0.0206,DH5
0.165,0.0068,50,0.078,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10,27053,27242,27818,C22,C23,D2,27371,325.4,1.0143,0.013,DH5
