nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,80,10,9718,8312,9465,H6,H8,H10,9165,611.9,0.2546,0.0374,plate_AL_8
0.165,0.068,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,80,10,9497,9974,10195,H11,H12,H13,9888.7,291.3,0.2989,0.0178,plate_AL_8
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,80,10,34096,34287,34159,H14,H16,H18,34180.7,79.5,1.784,0.0049,plate_AL_8
0.033,0.0068,50,0.026,10,2,1.5,0.3,9,0.45,0.02,4,50,0.225,80,10,37361,36409,37086,H15,H17,H19,36952,400,1.9535,0.0245,plate_AL_8
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,80,10,34019,33205,36799,H20,H22,I2,34674.3,1538.7,1.8142,0.0941,plate_AL_8
0.099,0.0068,50,0.026,10,2,1.5,0.3,9,0.45,0.06,4,50,0.225,80,10,37472,39809,38011,H21,H23,I3,38430.7,999.2,2.0439,0.0611,plate_AL_8
0.033,0.034,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,80,10,33138,34445,34858,I4,I8,I12,34147,733.1,1.782,0.0448,plate_AL_8
0.099,0.0068,50,0.13,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,80,10,35606,34752,36541,I5,I9,I13,35633,730.6,1.8728,0.0447,plate_AL_8
0.165,0.0068,50,0.13,10,2,1.5,0.3,9,0.45,0.02,4,50,0.075,80,10,34857,36857,37387,I6,I10,I14,36367,1089.4,1.9177,0.0666,plate_AL_8
0.033,0.034,50,0.026,10,2,1.5,0.3,9,0.45,0.06,4,50,0.225,80,10,37279,36491,37690,I7,I11,I15,37153.3,497.5,1.9658,0.0304,plate_AL_8
0.165,0.0204,50,0.078,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,80,10,37394,36423,40436,I16,I18,I20,38084.3,1709.5,2.0227,0.1045,plate_AL_8
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,80,10,32012,33243,33257,I17,I19,I21,32837.3,583.6,1.7019,0.0357,plate_AL_8
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,80,10,8466,7459,7453,I22,J2,J4,7792.7,476.1,0.1707,0.0291,plate_AL_8
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,80,10,9382,8156,9959,I23,J3,J5,9165.7,751.8,0.2547,0.046,plate_AL_8
0.033,0.034,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,80,10,33104,33866,33463,J6,J9,J12,33477.7,311.3,1.741,0.019,plate_AL_8
0.033,0.034,50,0.13,10,2,1.5,0.5,9,0.45,0.06,4,50,0.075,80,10,33394,33548,35738,J7,J10,J13,34226.7,1070.5,1.7868,0.0654,plate_AL_8
0.165,0.0204,50,0.13,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,80,10,39093,37941,42273,J8,J11,J14,39769,1832,2.1257,0.112,plate_AL_8
0.099,0.0204,50,0.078,10,2,1.5,0.1,9,0.45,0.2,4,50,0.075,80,10,41020,42794,35484,J15,J22,K7,39766,3113.2,2.1255,0.1903,plate_AL_8
0.033,0.0204,50,0.078,10,2,1.5,0.3,9,0.45,0.2,4,50,0.075,80,10,41106,42828,38126,J16,J23,K8,40686.7,1942.3,2.1818,0.1187,plate_AL_8
0.33,0.0068,50,0.026,10,2,1.5,0.5,9,0.45,0.06,4,50,0.075,80,10,35332,32426,32504,J17,K2,K9,33420.7,1351.9,1.7376,0.0827,plate_AL_8
0.165,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.06,4,50,0.075,80,10,8464,7045,7945,J18,K3,K10,7818,586.2,0.1723,0.0358,plate_AL_8
0.165,0.068,50,0.026,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,80,10,44710,37544,37304,J19,K4,K11,39852.7,3436.1,2.1308,0.2101,plate_AL_8
0.099,0.0204,50,0.078,10,2,1.5,1,9,0.45,0.02,4,50,0.075,80,10,10314,9499,9305,J20,K5,K12,9706,437.2,0.2877,0.0267,plate_AL_8
0.33,0.0068,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,80,10,42035,36797,40545,J21,K6,K13,39792.3,2203.6,2.1271,0.1347,plate_AL_8
0.033,0.068,50,0.13,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,80,10,39454,37623,38375,K14,K18,K22,38484,751.5,2.0471,0.0459,plate_AL_8
0.099,0.068,50,0.13,10,2,1.5,0.3,9,0.45,0.02,4,50,0.075,80,10,39611,39365,40270,K15,K19,K23,39748.7,382.1,2.1244,0.0234,plate_AL_8
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,80,10,11074,9815,8501,K16,K20,L2,9796.7,1050.5,0.2933,0.0642,plate_AL_8
0.033,0.0204,50,0.13,10,2,1.5,0.3,9,0.45,0.2,4,50,0.075,80,10,38165,37944,37298,K17,K21,L3,37802.3,367.9,2.0054,0.0225,plate_AL_8
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.2,4,50,0.075,80,10,7379,7394,7446,L4,L5,L6,7406.3,28.7,0.1471,0.0018,plate_AL_8
0.099,0.034,50,0.026,10,2,1.5,0.5,9,0.45,0.2,4,50,0.075,80,10,32622,34009,35586,L7,L11,L15,34072.3,1210.9,1.7774,0.074,plate_AL_8
0.33,0.034,50,0.078,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,80,10,37786,38915,44026,L8,L12,L16,40242.3,2714.9,2.1546,0.166,plate_AL_8
0.099,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.2,4,50,0.075,80,10,33373,36703,34164,L9,L13,L17,34746.7,1420.5,1.8186,0.0868,plate_AL_8
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,80,10,9369,10874,11096,L10,L14,L18,10446.3,767.2,0.333,0.0469,plate_AL_8
0.165,0.034,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,80,10,8548,7757,8158,L19,L20,L21,8154.3,322.9,0.1928,0.0197,plate_AL_8
0.099,0.068,50,0.026,10,2,1.5,0.5,9,0.45,0.2,4,50,0.075,80,10,33140,32423,31234,L22,M2,M4,32265.7,786,1.6669,0.0481,plate_AL_8
0.33,0.068,50,0.078,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,80,10,41517,37680,39046,L23,M3,M5,39414.3,1588,2.104,0.0971,plate_AL_8
0.33,0.068,50,0.026,10,2,1.5,0.1,9,0.45,0.2,4,50,0.075,80,10,39084,37166,37747,M6,M8,M10,37999,803,2.0175,0.0491,plate_AL_8
0.033,0.068,50,0.026,10,2,1.5,1,9,0.45,0.2,4,50,0.075,80,10,9384,9305,9782,M7,M9,M11,9490.3,208.7,0.2745,0.0128,plate_AL_8
0.033,0.0068,50,0.026,10,2,1.5,0.5,9,0.75,0.02,4,50,0.075,80,10,28466,29909,28220,M12,M13,M14,28865,745,1.459,0.0455,plate_AL_8
0.165,0.0068,50,0.026,10,2,1.5,0.3,9,0.75,0.02,4,50,0.075,80,10,41708,42876,40810,M15,M18,M21,41798,845.8,2.2497,0.0517,plate_AL_8
0.099,0.0204,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,80,10,43764,44479,43254,M16,M19,M22,43832.3,502.4,2.3741,0.0307,plate_AL_8
0.033,0.0068,50,0.026,10,2,1.5,0.5,9,0.75,0.06,4,50,0.075,80,10,32925,31765,32864,M17,M20,M23,32518,533,1.6824,0.0326,plate_AL_8
0.165,0.034,50,0.026,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,80,10,44050,42120,43601,N2,N4,N6,43257,824.6,2.3389,0.0504,plate_AL_8
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,80,10,44084,42148,42266,N3,N5,N7,42832.7,886.1,2.313,0.0542,plate_AL_8
0.099,0.0204,50,0.026,10,2,1.5,0.3,9,0.75,0.1,4,50,0.075,80,10,40790,42452,42348,N8,N10,N12,41863.3,760.1,2.2537,0.0465,plate_AL_8
0.165,0.0068,50,0.026,10,2,1.5,0.3,9,0.75,0.1,4,50,0.075,80,10,40487,41555,40862,N9,N11,N13,40968,442.4,2.199,0.027,plate_AL_8
0.099,0.034,50,0.026,10,2,1.5,0.3,9,0.75,0.1,4,50,0.075,80,10,38565,35646,42714,N14,N16,N18,38975,2900,2.0771,0.1773,plate_AL_8
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,80,10,42112,28735,38698,N15,N17,N19,36515,5675.1,1.9267,0.347,plate_AL_8
0.033,0.034,50,0.026,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,80,10,42948,44038,41648,N20,N22,O2,42878,977,2.3158,0.0597,plate_AL_8
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,80,10,44198,44232,43513,N21,N23,O3,43981,331.2,2.3832,0.0202,plate_AL_8
0.165,0.068,50,0.026,10,2,1.5,0.1,9,0.75,0.06,4,50,0.075,80,10,41429,44789,40566,O4,O6,O8,42261.3,1821.7,2.2781,0.1114,plate_AL_8
0.099,0.068,50,0.078,10,2,1.5,0.3,9,0.75,0.02,4,50,0.075,80,10,41312,40205,39649,O5,O7,O9,40388.7,691.2,2.1636,0.0423,plate_AL_8
0.165,0.068,50,0.078,10,2,1.5,0.1,9,0.75,0.06,4,50,0.075,80,10,39279,41359,40325,O10,O11,O12,40321,849.2,2.1594,0.0519,plate_AL_8
0.165,0.068,50,0.026,10,2,1.5,0.3,9,0.75,0.1,4,50,0.075,80,10,39701,41846,41164,O13,O15,O17,40903.7,894.8,2.195,0.0547,plate_AL_8
0.165,0.068,50,0.078,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,80,10,41632,39911,38676,O14,O16,O18,40073,1212.2,2.1443,0.0741,plate_AL_8
0.099,0.068,50,0.026,10,2,1.5,0.3,9,0.75,0.2,4,50,0.075,80,10,41892,42581,43724,O19,O20,O21,42732.3,755.5,2.3068,0.0462,plate_AL_8
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,40,10,19165,19448,20872,P2,P9,P16,19828.3,747,0.9066,0.0457,plate_AL_8
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.75,0.02,1.2,50,0.375,40,10,20072,20192,23806,P3,P10,P17,21356.7,1732.6,1,0.1059,plate_AL_8
0.165,0.0204,50,0.078,10,2,0.75,0.5,9,0.15,0.02,0.4,50,0.375,40,10,13267,12354,14163,P4,P11,P18,13261.3,738.5,0.5051,0.0452,plate_AL_8
0.033,0.0068,50,0.026,10,2,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10,15527,20388,21513,P5,P12,P19,19142.7,2597.6,0.8646,0.1588,plate_AL_8
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,80,10,43505,45308,41650,P6,P13,P20,43487.7,1493.4,2.353,0.0913,plate_AL_8
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10,39626,42676,40065,P7,P14,P21,40789,1346.3,2.188,0.0823,plate_AL_8
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,80,10,35083,42237,-1,P8,P15,P22,38660,3577,2.0579,0.2187,plate_AL_8
